"Date"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
2007-10-02	0	0.02	0	0.001	0	0
2007-10-03	0	0.027	0	0	0.002	0
2007-10-04	0	0.029	0	0	0.008	0
2007-10-05	0	0.017	0	0	0.006	0
2007-10-06	0	0.028	0	0.001	0.009	0
2007-10-07	0	0.017	0	0.001	0.005	0
2007-10-08	0	0.015	0	0.001	0.003	0
2007-10-09	0	0.012	0	0	0.002	0
2007-10-10	0	0.01	-0.001	0	0.001	0
2007-10-11	0	0.008	0.001	0	0	0
2007-10-12	0	0.007	0	0	0	0
2007-10-13	0	0.006	0	0	0	0
2007-10-14	0	0.005	0	0	0	0
2007-10-15	0	0.005	0	0	0	0
2007-10-16	0	0.004	0	0	0	0
2007-10-17	0.229	0.214	0.17	0.19	0.215	0.238
2007-10-18	1.867	1.897	1.915	1.915	1.897	1.91
2007-10-19	0.91	0.975	0.648	0.591	0.98	0.562
2007-10-20	0.257	0.352	0.009	0.006	0.309	0.005
2007-10-21	0.076	0.155	0.006	0.007	0.183	0
2007-10-22	0.003	0.082	0.004	0.006	0.101	0
2007-10-23	0.003	0.065	0.005	0.005	0.076	0
2007-10-24	0.003	0.043	0.004	0.005	0.055	0
2007-10-25	0.003	0.037	0.003	0.005	0.043	0
2007-10-26	0.004	0.03	0.004	0.005	0.033	0
2007-10-27	0.003	0.019	0.003	0.004	0.021	0
2007-10-28	0.003	0.014	0.003	0.004	0.014	0
2007-10-29	0.003	0.015	0.003	0.004	0.011	0
2007-10-30	0.003	0.014	0.003	0.004	0.011	0
2007-10-31	0.003	0.009	0.003	0.004	0.005	0
2007-11-01	0.002	0.006	0.002	0.003	0.001	0
2007-11-02	0.002	0.005	0.002	0.003	0.001	0
2007-11-03	0.002	0.005	0.002	0.003	0	0
2007-11-04	0.002	0.006	0.002	0.003	0	0
2007-11-05	0.002	0.004	0.002	0.002	0	0
2007-11-06	0.002	0.002	0.001	0.002	0	0
2007-11-07	0.002	0.002	0.001	0.002	0	0
2007-11-08	0.002	0.003	0.001	0.002	0	0
2007-11-09	0.002	0.001	0.001	0.002	0	0
2007-11-10	0.002	0.001	0.001	0.001	0	0
2007-11-11	0.003	0.001	0.001	0.002	0	0
2007-11-12	0.002	0	0.001	0.002	0	0
2007-11-13	0.002	0.001	0.001	0.001	0	0
2007-11-14	0.002	0	0.001	0.001	0	0
2007-11-15	0.002	0	0.001	0.001	0	0
2007-11-16	0.002	0	0.001	0.001	0	0
2007-11-17	0.002	0	0	0.001	0	0
2007-11-18	0.002	0	0	0.001	0	0
2007-11-19	0.002	0	0	0.001	0	0
2007-11-20	0.002	0	0	0.001	0	0
2007-11-21	0.001	0	0	0.001	0	0
2007-11-22	0.002	0	0	0	0	0
2007-11-23	0.002	0	0	0	0	0
2007-11-24	0.002	0	0	0	0	0
2007-11-25	0.002	0	0	0	0	0
2007-11-26	0.002	0	0	0	0.001	0
2007-11-27	0.002	0	0	0	0.014	0
2007-11-28	0.002	0	0	0	0.012	0
2007-11-29	0.001	0	0	0	0.026	0
2007-11-30	0	0	0	0	0	0
2007-12-01	0	0	0	0	0	0
2007-12-02	0	0	0	0	0	0
2007-12-03	0	0	0	0	0	0
2007-12-04	0	0.002	0	0	0	0
2007-12-05	0	0.004	0	0	0	0
2007-12-06	0	0.007	0	0	0	0
2007-12-07	0	0.013	0	0	0	0
2007-12-08	0	0.02	0	0	0	0
2007-12-09	0	0.028	0	0	0	0
2007-12-10	0	0.039	0	0	0	0
2007-12-11	0	0.052	0	0	0	0
2007-12-12	0	0.067	0	0	0	0
2007-12-13	0	0.111	0	0	0.117	0
2007-12-14	0	0.06	0	0	0.928	0
2007-12-15	0	0.054	0	0	0.053	0
2007-12-16	0	0.033	0	0	0.058	0
2007-12-17	0	0.031	0	0	0.116	0
2007-12-18	0	0.023	0	0	0.235	0
2007-12-19	0	0.015	0	0	0.403	0
2007-12-20	0	0.015	0	0	0	0
2007-12-21	0	0.021	0	0	0	0
2007-12-22	0	0.174	0	0	0.199	0
2007-12-23	0	0.194	0	0	1.274	0
2007-12-24	0	0.12	0	0	0.317	0
2007-12-25	0	0.092	0	0	0.219	0
2007-12-26	0	0.07	0	0	0.174	0
2007-12-27	0	0.051	0	0	0.6	0
2007-12-28	0	0.038	0	0	0.327	0
2007-12-29	0	0.024	0	0	0.418	0
2007-12-30	0	0.027	0	0	0.336	0
2007-12-31	0	0.048	0	0	0.634	0
2008-01-07	0	0	0	0	0	0.481
2008-01-08	0	0	0	0	0	0.397
2008-01-09	0	0	0	0	0	0.043
2008-01-10	0	0	0	0	0	0.029
2008-01-11	0	0	0	0	0	0.07
2008-01-12	0	0	0	0	0	0.077
2008-01-13	0	0	0	0	0	0.032
2008-01-14	0	0	0	0	0	0.009
2008-01-15	0	0	0	0	0	0
2008-01-16	0	0	0	0	0	0
2008-01-17	0	0	0	0	0	0
2008-01-18	0	0	0	0	0	0
2008-01-19	0	0	0	0	0	0
2008-01-20	0	0	0	0	0	0
2008-01-21	0	0	0	0	0	0
2008-01-22	0	0	0	0	0	0
2008-01-23	0	0	0	0	0	0
2008-01-24	0	0	0	0	0	0
2008-01-25	0	0	0	0	0	0
2008-01-26	0	0	0	0	0	0
2008-01-27	0	0	0	0	0	0
2008-01-28	0	0	0	0	0	0
2008-01-29	0	0	0	0	0	0
2008-01-30	0	0	0	0	0	0
2008-01-31	0	0	0	0	0	0
2008-02-01	0	0	0	0	0	0
2008-02-02	0	0	0	0	0	0
2008-02-03	0	0	0	0	0	0
2008-02-04	0	0	0	0	0	0
2008-02-05	0	0	0	0	0	0
2008-02-06	0	0	0	0	0	0
2008-02-07	0	0	0	0	0	0
2008-02-08	0	0	0	0	0	0
2008-02-09	0	0	0	0	0	0
2008-02-10	0	0	0	0	0	0
2008-02-11	0	0	0	0	0	0
2008-02-12	0	0	0	0	0	0
2008-02-13	0	0	0	0	0	0
2008-02-14	0	0	0	0	0	0
2008-02-15	0	0	0	0	0	0
2008-02-16	0	0	0	0	0	0
2008-02-17	0	0	0	0	0	0
2008-02-18	0	0	0	0	0	0
2008-02-19	0	0	0	0	0	0
2008-02-20	0	0	0	0	0	0
2008-02-21	0	0	0	0	0	0
2008-02-22	0	0	0	0	0	0
2008-02-23	0	0	0	0	0	0
2008-02-24	0	0	0	0	0	0
2008-02-25	0	0	0	0	0	0
2008-02-26	0	0	0	0	0	0
2008-02-27	0	0	0	0	0	0
2008-02-28	0	0	0	0	0	0
2008-02-29	0	0	0	0	0	0
2008-03-01	0	0	0	0	0	0.039
2008-03-02	0	0	0	0	0	0
2008-03-03	0	0	0	0	0	0
2008-03-04	0	0	0	0	0	0
2008-03-05	0	0	0	0	0	0
2008-03-06	0	0	0	0	0	0
2008-03-07	0	0	0	0	0	0
2008-03-08	0	0	0	0	0	0
2008-03-09	0	0	0	0	0	0
2008-03-10	0	0	0	0	0	0
2008-03-11	0	0	0	0	0	0
2008-03-12	0	0	0	0	0	0
2008-03-13	0	0	0	0	0	0
2008-03-14	0	0	0	0	0	0
2008-03-15	0	0	0	0	0	0
2008-03-16	0	0	0	0	0	0
2008-03-17	0	0	0	0	0	0
2008-03-18	0	0	0	0	0	0
2008-03-19	0	0	0	0	0	0
2008-03-20	0	0	0	0	0	0
2008-03-21	0	0	0	0	0	0
2008-03-22	0	0	0	0	0	0
2008-03-23	0	0	0	0	0	0
2008-03-24	0	0	0	0	0	0
2008-03-25	0	0.016	0.021	0.177	0	0.212
2008-03-26	0	0.032	0.039	0.532	0	0.038
2008-03-27	0	0.025	0.041	0.221	0	0.015
2008-03-28	0	0.018	0.037	0.871	0	0.066
2008-03-29	0	0.019	0.04	0.542	0	0.008
2008-03-30	0	0.019	0.039	0	0	0.012
2008-03-31	0	0.023	0.038	0	0	0.022
2008-04-01	0	0.012	0.033	0.585	0	0.026
2008-04-02	0	0.013	0.033	0.642	0	0.015
2008-04-03	0	0.019	0.037	0.152	0	0.007
2008-04-04	0	0.016	0.035	0.015	0	0.031
2008-04-05	0	0.017	0.035	0.052	0	0.014
2008-04-06	0	0.016	0.033	0	0	0.007
2008-04-07	0	0.014	0.031	0.07	0	0.021
2008-04-08	0.405	0.433	0.038	0.136	0	0.594
2008-04-09	0.692	0.623	0.075	0.335	0	0.499
2008-04-10	0.696	0.557	0.085	0.003	0	0.428
2008-04-11	0.594	0.549	0.075	0	0	0.292
2008-04-12	0.269	0.335	0.065	0.238	0	0.05
2008-04-13	0.121	0.22	0.064	0.633	0	0.018
2008-04-14	0.041	0.157	0.636	0.501	0	0.002
2008-04-15	0.017	0.12	0.796	0	0	0
2008-04-16	0.001	0.087	0.36	0	0	0
2008-04-17	0	0.056	0.204	0.008	0	0.021
2008-04-18	0.292	0.158	0.697	0.328	0	0.28
2008-04-19	0.456	0.378	1.112	0.757	0	0.344
2008-04-20	0.112	0.223	0.66	0.315	0	0.091
2008-04-21	0.026	0.135	0.39	0.113	0	0.025
2008-04-22	0.001	0.1	0.246	0.021	0	0.023
2008-04-23	0	0.065	0.179	0.011	0	0.018
2008-04-24	0	0.058	0.15	0.011	0	0.024
2008-04-25	0.333	0.232	0.585	0.364	0	0.444
2008-04-26	0.451	0.427	1.037	0.782	0	0.319
2008-04-27	0.067	0.214	0.472	0.24	0	0.056
2008-04-28	0.015	0.119	0.331	0.091	0	0.03
2008-04-29	0	0.097	0.19	0.014	0	0.024
2008-04-30	0	0.07	0.163	0.014	0	0.022
2008-05-01	0	0.051	0.122	0.01	0.11	0.019
2008-05-02	0	0.046	0.095	0.01	0.092	0.021
2008-05-03	0	0.029	0.042	0.01	0.07	0.021
2008-05-04	0	0.019	0.032	0.009	0.046	0.019
2008-05-05	0	0.021	0.031	0.009	0.037	0.022
2008-05-06	0	0.021	0.028	0.007	0.031	0.018
2008-05-07	0	0.019	0.024	0.006	0.04	0.021
2008-05-08	0	0.017	0.03	0.006	0.021	0.017
2008-05-09	0	0.014	0.026	0.006	0.012	0.018
2008-05-10	0	0.015	0.024	0.006	0.01	0.021
2008-05-11	1.586	1.622	1.652	1.627	1.649	1.693
2008-05-12	0.831	1.515	1.712	1.582	1.626	1.207
2008-05-13	0.209	0.415	1.013	0.71	0.522	0.127
2008-05-14	0.033	0.175	0.419	0.148	0.24	0.022
2008-05-15	0.002	0.1	0.252	0.019	0.162	0.019
2008-05-16	0	0.074	0.196	0.009	0.144	0.023
2008-05-17	0	0.061	0.157	0.006	0.108	0.015
2008-05-18	0	0.038	0.092	0.004	0.083	0.013
2008-05-19	0	0.036	0.077	0.01	0.08	0.02
2008-05-20	0	0.027	0.035	0.002	0.054	0.013
2008-05-21	0	0.022	0.02	0.005	0.044	0.011
2008-05-22	0	0.017	0.022	0.003	0.034	0.012
2008-05-23	0	0.016	0.019	0.006	0.024	0.015
2008-05-24	0	0.016	0.018	0.006	0.018	0.012
2008-05-25	0	0.019	0.013	0.005	0.02	0.011
2008-05-26	0	0.034	0.03	0.003	0.059	0.009
2008-05-27	0	0.04	0.04	0.003	0.066	0.009
2008-05-28	0	0.038	0.028	0.003	0.071	0.007
2008-05-29	0	0.041	0.029	0.002	0.066	0.007
2008-05-30	0.197	0.146	0.255	0.114	0.243	0.069
2008-05-31	0.067	0.189	0.257	0.114	0.264	0.024
2008-06-01	0.004	0.11	0.126	0.011	0.153	0.002
2008-06-02	0	0.088	0.083	0	0.133	0.001
2008-06-03	0.519	0.319	0.504	0.374	0.461	0.319
2008-06-04	0.274	0.35	0.561	0.258	0.454	0.067
2008-06-05	0.052	0.157	0.146	0.038	0.24	0.005
2008-06-06	0.088	0.14	0.003	0	0.204	0.011
2008-06-07	0.033	0.119	0.003	0	0.225	0.001
2008-06-08	0.001	0.097	0.002	0	0.155	0
2008-06-09	0.219	0.144	0.002	0	0.262	0.004
2008-06-10	0.239	0.235	0.003	0	0.338	0.014
2008-06-11	0.067	0.186	0.004	0	0.309	0.001
2008-06-12	0.179	0.292	0.095	0.099	0.376	0.135
2008-06-13	1.581	1.897	1.877	1.896	1.897	1.765
2008-06-14	0.534	0.679	0.012	0.17	0.774	0.156
2008-06-15	0.107	0.322	0.006	0	0.386	0.009
2008-06-16	0.019	0.164	0.005	0	0.278	0.001
2008-06-17	0	0.105	0.002	0	0.184	0
2008-06-18	0	0.086	0.002	0	0.142	0
2008-06-19	0	0.063	0.002	0	0.117	0
2008-06-20	0	0.046	0.002	0	0.096	0
2008-06-21	0	0.041	0.002	0	0.084	0
2008-06-22	0	0.031	0.002	0	0.058	0
2008-06-23	0	0.027	0.001	0	0.043	0
2008-06-24	0	0.021	0.001	0	0.032	0
2008-06-25	0	0.021	0.001	0	0.028	0
2008-06-26	0	0.122	0.001	0	0.223	0.002
2008-06-27	0.157	0.181	0.002	0	0.272	0.022
2008-06-28	0.015	0.141	0.004	0	0.224	0.001
2008-06-29	0	0.101	0.003	0	0.162	0.001
2008-06-30	0	0.062	0.001	0	0.116	0
2008-07-01	0	0.049	0.001	0	0.095	0
2008-07-02	0	0.043	0.002	0	0.078	0
2008-07-03	0	0.047	0.001	0	0.088	0
2008-07-04	0	0.042	0.001	0	0.076	0
2008-07-05	0	0.036	0.001	0	0.059	0
2008-07-06	0	0.032	0.001	0	0.046	0
2008-07-07	0	0.025	0.001	0	0.033	0
2008-07-08	0.008	0.116	0.001	0	0.146	0.001
2008-07-09	0.026	0.154	0.001	0	0.192	0.002
2008-07-10	0	0.098	0.001	0	0.133	0
2008-07-11	0	0.065	0.001	0	0.094	0
2008-07-12	0	0.042	0.001	0	0.074	0
2008-07-13	0	0.034	0.001	0	0.05	0
2008-07-14	0	0.024	0.001	0	0.034	0
2008-07-15	0	0.017	0.001	0	0.015	0
2008-07-16	0	0.012	0.001	0	0.005	0
2008-07-17	0	0.013	0.001	0	0.001	0
2008-07-18	0	0.009	0.001	0	0	0
2008-07-19	0	0.006	0.001	0	0	0
2008-07-20	0	0.004	0.001	0	0	0
2008-07-21	0	0.006	0.001	0	0	0
2008-07-22	0	0.006	0.001	0	0	0
2008-07-23	0	0.003	0.001	0	0	0
2008-07-24	0	0.002	0.001	0	0	0
2008-07-25	0	0.002	0.001	0	0	0
2008-07-26	0	0.001	0.001	0	0	0
2008-07-27	0	0	0.001	0	0	0
2008-07-28	0	0	0.001	0	0	0
2008-07-29	0	0	0.001	0	0	0
2008-07-30	0	0	0.001	0	0	0
2008-07-31	0	0	0.001	0	0	0
2008-08-01	0	0	0.001	0	0	0
2008-08-02	0	0	0.001	0	0	0
2008-08-03	0	0	0.001	0	0	0
2008-08-04	0	0	0.001	0	0	0
2008-08-05	0	0	0.001	0	0	0
2008-08-06	0	0	0.001	0	0	0
2008-08-07	0	0	0.001	0	0	0
2008-08-08	0	0	0.001	0	0	0.001
2008-08-09	0	0	0.001	0.001	0	0.003
2008-08-10	0	0	0.001	0	0	0.002
2008-08-11	0	0	0.001	0	0	0.002
2008-08-12	0	0	0.001	0	0	0.002
2008-08-13	0	0	0.001	0	0	0.002
2008-08-14	0	0	0.001	0	0	0.002
2008-08-15	0	0	0	0	0	0.002
2008-08-16	0	0	0	0	0	0.002
2008-08-17	0	0	0	0	0	0.002
2008-08-18	0	0	0	0	0	0.002
2008-08-19	0	0	0	0	0	0.001
2008-08-20	0	0	0	0	0	0.001
2008-08-21	0	0	0	0	0	0.001
2008-08-22	0	0	0	0	0	0.001
2008-08-23	0	0	0	0	0	0.001
2008-08-24	0	0	0	0	0	0.001
2008-08-25	0	0	0	0	0	0.001
2008-08-26	0	0	0	0	0	0.001
2008-08-27	0	0	0	0	0	0.001
2008-08-28	0	0	0	0	0	0.001
2008-08-29	0	0	0	0	0	0.001
2008-08-30	0	0	0	0	0	0.001
2008-08-31	0	0	0	0	0	0.002
2008-09-01	0	0	0	0	0	0
2008-09-02	0	0	0	0	0	0
2008-09-03	0	0	0	0	0	0
2008-09-04	0	0	0	0	0	0
2008-09-05	0	0	0	0	0	0
2008-09-06	0	0	0	0	0	0
2008-09-07	0	0	0	0	0	0
2008-09-08	0	0	0	0	0	0
2008-09-09	0	0	0	0	0	0
2008-09-10	0	0	0	0	0	0
2008-09-11	0	0	0	0	0	0
2008-09-12	0.011	0.002	0	0	0.011	0.022
2008-09-13	1.571	1.609	1.503	1.524	1.638	1.666
2008-09-14	1.91	1.897	1.915	1.915	1.897	1.91
2008-09-15	1.043	1.399	1.056	1.142	1.369	0.946
2008-09-16	0.354	0.492	0.004	0.012	0.184	0.008
2008-09-17	0.048	0.207	0.004	0	0.07	0
2008-09-18	0	0.081	0.006	0	0.021	0
2008-09-19	0	0.049	0.009	0	0.009	0
2008-09-20	0	0.026	0.007	0	0.002	0
2008-09-21	0	0.014	0.001	0	0	0
2008-09-22	0	0.01	0.001	0	0	0
2008-09-23	0	0.006	0.001	0	0	0
2008-09-24	0	0.005	0.001	0	0	0
2008-09-25	0	0.003	0.001	0	0	0
2008-09-26	0	0.002	0.001	0	0	0
2008-09-27	0	0.001	0.001	0	0	0
2008-09-28	0	0.001	0.001	0	0	0
2008-09-29	0	0.001	0	0	0	0
2008-09-30	0	0.001	0	0	0	0
2008-10-01	0	0	0	0	0	0
2008-10-02	0	0	0	0	0	0
2008-10-03	0	0	0	0	0	0
2008-10-04	0	0	0	0	0	0
2008-10-05	0	0	0	0	0	0
2008-10-06	0	0	0	0	0	0
2008-10-07	0	0	0	0	0	0
2008-10-08	0	0.001	0	0	0	0
2008-10-09	0	0.001	0	0	0	0
2008-10-10	0	0.002	0	0	0	0
2008-10-11	0	0.002	0	0	0	0
2008-10-12	0	0.001	0	0	0	0
2008-10-13	0	0.002	0	0	0	0
2008-10-14	0	0.001	0	0	0	0
2008-10-15	0	0.002	0	0	0	0
2008-10-16	0	0.007	0	0	0	0
2008-10-17	0	0.009	0	0	0	0
2008-10-18	0	0.012	0	0	0	0
2008-10-19	0	0.011	0	0	0	0
2008-10-20	0	0.008	0	0	0	0
2008-10-21	0	0.006	0	0	0	0
2008-10-22	0	0.007	0	0	0	0
2008-10-23	0	0.008	0	0	0	0
2008-10-24	0.022	0.072	0	0	0.018	0
2008-10-25	0.102	0.242	0	0	0.057	0
2008-10-26	0.01	0.119	0.003	0	0.024	0
2008-10-27	0	0.071	0.001	0	0.008	0
2008-10-28	0	0.056	0.001	0	0.004	0
2008-10-29	0	0.045	0.001	0	0.002	0
2008-10-30	0	0.033	0.001	0	0.001	0
2008-10-31	0	0.022	0	0	0	0
2008-11-01	0	0.018	0	0	0	0
2008-11-02	0	0.018	0.001	0	0	0
2008-11-03	0	0.014	0	0	0	0
2008-11-04	0	0.014	0	0	0	0
2008-11-05	0	0.013	0	0	0	0
2008-11-06	0	0.012	0	0	0	0
2008-11-07	0	0.012	0	0	0	0
2008-11-08	0	0.011	0	0	0	0
2008-11-09	0	0.008	0	0	0	0
2008-11-10	0	0.007	0	0	0	0
2008-11-11	0	0.008	0	0	0	0
2008-11-12	0	0.009	0	0	0	0
2008-11-13	0	0.012	0	0	0	0
2008-11-14	0	0.086	0	0	0.007	0
2008-11-15	0	0.082	0	0	0.007	0
2008-11-16	0	0.068	0	0	0.005	0
2008-11-17	0	0.038	0	0	0.001	0
2008-11-18	0	0.031	0	0	0	0
2008-11-19	0	0.034	0	0	0	0
2008-11-20	0	0.017	0	0	0	0
