"Date"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
2008-01-29	48	48	48	48	48	24
2008-01-30	48	48	48	48	48	24
2008-01-31	48	48	48	48	48	30
2008-02-01	48	48	48	48	48	26
2008-02-02	48	48	48	48	48	25
2008-02-03	48	48	48	48	48	29
2008-02-04	48	48	48	48	48	24
2008-02-05	48	48	48	48	48	25
2008-02-06	48	48	48	48	48	26
2008-02-07	48	48	48	48	48	24
2008-02-08	48	48	48	48	48	25
2008-02-09	48	48	48	48	48	24
2008-02-10	48	48	48	48	48	24
2008-02-11	48	48	48	48	48	24
2008-02-12	48	48	47	47	48	24
2008-02-13	48	48	48	48	48	24
2008-02-14	48	48	48	48	48	24
2008-02-15	48	48	48	48	48	24
2008-02-16	48	48	48	48	48	24
2008-02-17	48	48	48	48	48	24
2008-02-18	48	48	48	48	48	24
2008-02-19	48	48	48	48	48	24
2008-02-20	48	48	48	48	48	24
2008-02-21	48	48	48	48	48	24
2008-02-22	48	48	48	48	48	24
2008-02-23	48	48	48	48	48	24
2008-02-24	48	48	48	48	48	24
2008-02-25	48	48	48	48	48	24
2008-02-26	48	48	48	48	48	24
2008-02-27	48	48	47	47	48	24
2008-02-28	48	48	48	48	48	24
2008-02-29	48	48	48	48	48	24
2008-03-01	31	48	48	48	48	33
2008-03-02	28	48	48	48	48	48
2008-03-03	24	48	48	48	48	48
2008-03-04	24	48	48	48	48	48
2008-03-05	24	48	48	48	48	48
2008-03-06	24	48	48	48	48	48
2008-03-07	40	48	48	48	48	48
2008-03-08	48	48	48	48	48	48
2008-03-09	48	48	48	48	48	48
2008-03-10	48	48	48	48	48	48
2008-03-11	48	48	48	48	48	48
2008-03-12	48	48	48	48	48	48
2008-03-13	48	48	48	47	48	48
2008-03-14	48	48	48	48	48	48
2008-03-15	48	48	48	48	48	48
2008-03-16	48	48	48	48	48	48
2008-03-17	48	48	48	48	48	48
2008-03-18	48	48	48	48	48	48
2008-03-19	48	48	48	48	48	48
2008-03-20	48	48	48	48	48	48
2008-03-21	48	48	48	48	48	48
2008-03-22	48	48	48	48	48	48
2008-03-23	48	48	48	48	48	48
2008-03-24	48	48	48	48	48	48
2008-03-25	34	32	33	22	23	22
2008-03-26	19	25	18	1	1	1
2008-03-27	20	29	29	0	2	1
2008-03-28	23	30	29	2	1	1
2008-03-29	27	27	22	2	0	1
2008-03-30	34	26	20	1	1	1
2008-03-31	27	19	17	2	0	1
2008-04-01	28	33	28	1	2	0
2008-04-02	22	29	26	0	2	1
2008-04-03	31	24	24	1	3	0
2008-04-04	29	26	29	3	0	2
2008-04-05	21	21	20	1	2	1
2008-04-06	26	27	26	0	0	1
2008-04-07	24	19	26	0	1	0
2008-04-08	23	9	24	1	1	0
2008-04-09	4	17	19	3	1	0
2008-04-10	8	17	18	1	1	0
2008-04-11	7	17	32	0	3	1
2008-04-12	14	23	34	2	2	2
2008-04-13	14	24	25	0	1	0
2008-04-14	13	21	16	22	24	24
2008-04-15	7	16	4	48	48	48
2008-04-16	19	20	11	48	48	48
2008-04-17	23	17	10	38	39	38
2008-04-18	15	19	1	16	20	33
2008-04-19	6	20	4	30	32	18
2008-04-20	12	18	5	25	31	25
2008-04-21	9	25	14	33	26	36
2008-04-22	17	18	9	26	29	34
2008-04-23	24	18	13	28	29	28
2008-04-24	19	27	13	40	33	33
2008-04-25	8	17	10	26	17	21
2008-04-26	3	8	1	20	28	22
2008-04-27	10	17	11	25	28	27
2008-04-28	9	27	14	26	23	21
2008-04-29	24	17	12	29	21	25
2008-04-30	23	18	20	31	24	34
2008-05-01	20	19	24	27	27	38
2008-05-02	26	19	10	38	30	41
2008-05-03	22	21	13	35	22	32
2008-05-04	20	19	15	25	23	28
2008-05-05	18	19	12	31	33	21
2008-05-06	20	17	11	32	24	27
2008-05-07	28	26	11	33	25	27
2008-05-08	27	21	17	29	17	30
2008-05-09	22	22	10	25	25	33
2008-05-10	22	25	7	31	33	29
2008-05-11	3	1	0	6	2	5
2008-05-12	5	2	1	10	5	9
2008-05-13	6	16	2	26	34	26
2008-05-14	5	17	7	22	29	28
2008-05-15	17	25	9	33	30	32
2008-05-16	25	18	14	26	27	37
2008-05-17	27	18	10	15	24	32
2008-05-18	23	21	12	33	22	20
2008-05-19	22	21	8	24	30	25
2008-05-20	26	19	3	25	35	26
2008-05-21	25	19	8	20	26	28
2008-05-22	30	26	17	24	26	35
2008-05-23	22	23	13	27	30	32
2008-05-24	21	24	22	32	28	27
2008-05-25	22	19	19	34	28	20
2008-05-26	23	23	20	33	23	26
2008-05-27	33	26	13	28	32	30
2008-05-28	26	24	13	23	26	28
2008-05-29	17	27	17	30	27	34
2008-05-30	8	20	14	22	31	22
2008-05-31	5	16	11	26	30	24
2008-06-01	14	18	8	23	32	26
2008-06-02	19	16	15	26	29	24
2008-06-03	11	17	7	20	23	22
2008-06-04	8	15	2	24	31	22
2008-06-05	10	19	11	27	34	28
2008-06-06	6	15	18	33	26	23
2008-06-07	14	22	11	22	30	30
2008-06-08	13	21	27	31	33	30
2008-06-09	7	17	12	32	23	27
2008-06-10	6	13	18	28	32	21
2008-06-11	9	22	10	32	32	35
2008-06-12	5	13	24	28	28	19
2008-06-13	2	0	0	1	0	0
2008-06-14	8	10	12	13	23	18
2008-06-15	3	12	19	24	33	23
2008-06-16	6	17	13	31	25	29
2008-06-17	15	18	15	29	26	30
2008-06-18	17	17	25	30	25	34
2008-06-19	23	24	14	29	24	31
2008-06-20	24	26	20	29	35	36
2008-06-21	22	29	29	24	34	32
2008-06-22	24	27	27	27	30	34
2008-06-23	24	22	22	28	30	37
2008-06-24	23	27	14	28	36	32
2008-06-25	25	25	18	24	36	38
2008-06-26	19	11	22	36	29	33
2008-06-27	7	18	19	24	34	29
2008-06-28	8	23	22	29	34	24
2008-06-29	28	22	22	30	30	30
2008-06-30	23	23	19	32	28	32
2008-07-01	21	23	24	28	35	34
2008-07-02	21	22	25	24	36	26
2008-07-03	28	26	20	28	32	28
2008-07-04	20	29	18	34	32	35
2008-07-05	27	20	28	30	32	26
2008-07-06	31	18	25	27	26	40
2008-07-07	26	22	20	22	26	35
2008-07-08	24	16	26	27	26	36
2008-07-09	6	24	15	29	28	38
2008-07-10	25	19	18	28	37	33
2008-07-11	18	16	29	33	28	37
2008-07-12	33	19	16	28	36	37
2008-07-13	26	16	20	27	33	35
2008-07-14	26	23	17	25	26	31
2008-07-15	14	28	18	22	35	31
2008-07-16	14	27	20	28	29	36
2008-07-17	19	25	20	26	20	36
2008-07-18	18	25	25	32	31	37
2008-07-19	20	17	24	26	26	37
2008-07-20	24	20	19	24	27	33
2008-07-21	13	13	19	23	30	36
2008-07-22	20	23	25	21	31	31
2008-07-23	22	20	25	26	27	37
2008-07-24	35	23	30	27	23	32
2008-07-25	33	19	18	29	28	37
2008-07-26	24	19	17	23	28	29
2008-07-27	29	13	23	26	23	26
2008-07-28	24	16	18	22	30	32
2008-07-29	19	21	16	24	28	27
2008-07-30	20	19	15	21	29	29
2008-07-31	22	28	14	27	30	24
2008-08-01	22	21	15	21	26	39
2008-08-02	18	22	27	26	23	33
2008-08-03	18	29	18	21	23	31
2008-08-04	25	33	21	25	30	32
2008-08-05	22	24	23	18	24	36
2008-08-06	24	26	24	25	30	28
2008-08-07	18	20	23	27	27	34
2008-08-08	19	24	21	21	26	20
2008-08-09	30	18	23	24	24	24
2008-08-10	22	24	23	32	26	13
2008-08-11	22	30	20	27	29	24
2008-08-12	26	31	27	28	28	23
2008-08-13	20	23	28	28	23	24
2008-08-14	15	23	22	33	26	24
2008-08-15	26	19	13	27	24	24
2008-08-16	18	20	18	32	25	20
2008-08-17	26	24	22	27	20	21
2008-08-18	22	21	16	33	28	24
2008-08-19	21	18	21	24	24	24
2008-08-20	20	22	19	31	26	29
2008-08-21	26	22	40	28	35	22
2008-08-22	28	21	20	27	26	25
2008-08-23	29	20	26	37	23	28
2008-08-24	22	17	20	30	28	28
2008-08-25	30	18	21	27	23	22
2008-08-26	29	26	20	25	24	26
2008-08-27	28	24	22	26	27	18
2008-08-28	29	34	25	23	26	24
2008-08-29	22	20	20	21	25	15
2008-08-30	18	25	21	31	21	9
2008-08-31	25	21	19	23	25	11
2008-09-01	18	28	12	26	25	17
2008-09-02	19	24	12	15	23	9
2008-09-03	30	23	27	7	25	20
2008-09-04	31	38	33	13	20	20
2008-09-05	19	20	27	18	30	13
2008-09-06	19	20	20	19	25	15
2008-09-07	22	20	24	14	25	12
2008-09-08	23	26	29	13	21	16
2008-09-09	25	22	29	13	22	10
2008-09-10	21	19	15	21	30	7
2008-09-11	18	28	15	23	24	14
2008-09-12	29	23	28	24	28	11
2008-09-13	2	0	6	5	17	0
2008-09-14	0	1	1	1	22	0
2008-09-15	10	3	2	0	0	0
2008-09-16	5	11	22	6	7	6
2008-09-17	9	6	19	22	8	19
2008-09-18	23	22	20	20	14	25
2008-09-19	20	20	23	21	20	20
2008-09-20	18	17	26	35	21	20
2008-09-21	22	26	18	28	15	28
2008-09-22	17	19	16	33	20	18
2008-09-23	21	15	19	32	10	19
2008-09-24	22	22	27	28	10	26
2008-09-25	30	20	14	29	12	26
2008-09-26	16	21	19	30	12	18
2008-09-27	10	26	19	26	15	29
2008-09-28	24	26	27	24	14	12
2008-09-29	27	20	23	24	20	25
2008-09-30	23	21	25	30	10	24
2008-10-01	17	20	26	29	24	24
2008-10-02	20	20	25	33	29	27
2008-10-03	25	20	20	24	27	21
2008-10-04	22	20	23	25	22	17
2008-10-05	14	25	20	29	25	20
2008-10-06	26	23	18	28	21	20
2008-10-07	25	26	24	27	28	36
2008-10-08	18	21	16	28	23	25
2008-10-09	18	14	24	29	21	14
2008-10-10	21	20	17	26	25	18
2008-10-11	23	19	15	31	23	15
2008-10-12	24	32	16	37	22	21
2008-10-13	35	33	23	32	20	23
2008-10-14	24	16	27	24	22	20
2008-10-15	36	17	29	34	25	25
2008-10-16	24	21	24	26	23	22
2008-10-17	29	30	27	25	28	22
2008-10-18	19	22	21	38	21	20
2008-10-19	24	21	18	31	26	17
2008-10-20	18	23	22	35	18	20
2008-10-21	14	28	28	31	25	25
2008-10-22	27	22	24	37	25	22
2008-10-23	24	29	37	40	17	31
2008-10-24	27	18	21	33	8	20
2008-10-25	13	14	10	28	18	25
2008-10-26	8	17	13	26	13	26
2008-10-27	22	23	23	37	21	30
2008-10-28	25	18	19	33	17	20
2008-10-29	22	20	28	22	21	21
2008-10-30	22	19	16	23	16	19
2008-10-31	21	23	18	26	21	19
2008-11-01	22	22	20	31	23	13
2008-11-02	23	17	12	27	19	22
2008-11-03	13	24	20	25	22	15
2008-11-04	25	19	13	25	24	17
2008-11-05	23	18	14	28	20	18
2008-11-06	31	18	14	26	16	18
2008-11-07	25	25	23	34	14	23
2008-11-08	24	31	21	37	14	24
2008-11-09	24	24	15	39	12	1
2008-11-10	16	21	20	32	21	1
2008-11-11	24	27	33	26	20	1
2008-11-12	29	23	28	33	34	2
2008-11-13	24	25	9	26	16	13
2008-11-14	31	22	26	30	18	26
2008-11-15	21	22	21	32	22	20
2008-11-16	22	23	15	21	19	23
2008-11-17	18	26	13	31	18	19
2008-11-18	18	19	9	29	16	11
2008-11-19	21	10	5	23	9	16
2008-11-20	22	24	16	22	13	20
2008-11-21	14	23	11	23	14	11
2008-11-22	31	29	5	24	17	17
2008-11-23	15	15	14	25	21	17
2008-11-24	18	3	4	26	6	13
2008-11-25	14	2	2	29	20	20
2008-11-26	19	3	4	24	21	16
2008-11-27	21	0	7	25	18	17
2008-11-28	20	0	8	28	22	24
2008-11-29	23	0	4	27	15	25
2008-11-30	28	2	6	18	26	31
2008-12-01	24	0	6	31	12	21
2008-12-02	18	0	8	30	15	17
2008-12-03	24	0	6	23	20	24
2008-12-04	20	0	1	26	15	21
2008-12-05	27	0	4	22	19	13
2008-12-06	22	0	3	24	18	20
2008-12-07	22	0	1	32	24	9
2008-12-08	20	16	1	27	9	10
2008-12-09	26	25	4	18	1	24
2008-12-10	0	12	0	1	18	2
2008-12-11	1	28	1	1	2	0
2008-12-12	2	17	0	1	5	0
2008-12-13	1	28	0	0	25	7
2008-12-14	5	16	0	1	13	16
2008-12-15	0	0	27	15	11	16
2008-12-16	0	0	48	41	2	24
2008-12-17	2	0	48	13	12	21
2008-12-18	14	8	48	28	19	16
2008-12-19	19	17	48	36	21	27
2008-12-20	17	8	48	20	15	21
2008-12-21	15	0	48	27	16	22
2008-12-22	20	0	48	30	25	16
2008-12-23	31	19	48	38	24	21
2008-12-24	21	10	48	25	21	21
2008-12-25	22	0	48	30	22	23
2008-12-26	15	31	48	28	31	21
2008-12-27	8	9	48	36	22	27
2008-12-28	4	2	48	28	22	23
2008-12-29	7	0	48	32	24	25
2008-12-30	8	4	48	26	22	17
2008-12-31	4	0	48	22	13	17
2009-01-01	5	48	48	26	25	21
2009-01-02	3	48	48	24	26	23
2009-01-03	2	48	48	42	25	21
2009-01-04	9	48	48	14	15	20
2009-01-05	7	48	48	16	23	16
2009-01-06	9	48	48	28	26	20
2009-01-07	12	48	48	36	20	15
2009-01-08	6	48	48	27	13	19
2009-01-09	8	48	48	33	15	17
2009-01-10	6	48	48	28	11	29
2009-01-11	2	48	48	20	28	15
2009-01-12	2	48	48	33	22	23
2009-01-13	11	48	48	23	13	5
2009-01-14	48	48	48	17	15	4
2009-01-15	48	48	48	21	9	15
2009-01-16	48	48	48	27	15	6
2009-01-17	48	48	48	27	11	23
2009-01-18	48	48	48	33	6	32
2009-01-19	48	48	48	28	24	16
2009-01-20	48	48	48	27	29	16
2009-01-21	48	48	48	25	19	9
2009-01-22	48	48	48	32	25	12
2009-01-23	48	48	48	22	14	19
2009-01-24	48	48	48	26	15	14
2009-01-25	48	48	48	31	26	11
2009-01-26	48	48	48	30	20	16
2009-01-27	48	48	48	29	20	14
2009-01-28	48	48	48	28	17	8
2009-01-29	48	48	48	27	25	2
2009-01-30	48	48	48	24	19	0
2009-01-31	48	48	48	24	23	7
2009-02-01	48	48	48	25	21	22
2009-02-02	48	48	48	32	18	13
2009-02-03	48	48	48	17	13	13
2009-02-04	48	48	48	18	15	8
2009-02-05	48	48	48	20	14	15
2009-02-06	48	48	48	29	18	17
2009-02-07	48	48	48	22	16	21
2009-02-08	48	48	48	19	26	18
2009-02-09	48	48	48	28	32	20
2009-02-10	48	48	48	24	15	14
2009-02-11	48	48	48	37	17	18
2009-02-12	48	48	48	33	21	15
2009-02-13	48	48	48	23	27	28
2009-02-14	48	48	48	17	18	19
2009-02-15	48	48	48	26	20	13
2009-02-16	48	48	48	23	19	13
2009-02-17	48	48	48	25	36	17
2009-02-18	48	48	48	30	25	20
2009-02-19	48	48	48	20	18	7
2009-02-20	48	48	48	32	16	18
2009-02-21	48	48	48	22	17	18
2009-02-22	48	48	48	24	13	12
2009-02-23	48	48	48	18	16	11
2009-02-24	48	48	48	22	23	10
2009-02-25	32	48	33	22	13	13
2009-02-26	26	48	13	32	6	9
2009-02-27	20	48	23	21	6	1
2009-02-28	27	48	28	20	6	5
2009-03-01	13	48	25	17	4	7
2009-03-02	16	48	23	17	4	5
2009-03-03	3	48	24	26	8	5
2009-03-04	4	48	18	24	2	3
2009-03-05	13	48	28	19	7	5
2009-03-06	0	48	24	17	2	6
2009-03-07	8	48	35	25	2	8
2009-03-08	7	48	21	31	4	0
2009-03-09	9	48	27	12	9	1
2009-03-10	2	48	13	3	0	0
2009-03-11	8	48	27	22	0	1
2009-03-12	11	48	31	21	3	1
2009-03-13	14	48	28	24	4	7
2009-03-14	10	48	28	24	3	4
2009-03-15	8	48	21	19	5	3
2009-03-16	10	48	20	11	0	3
2009-03-17	8	48	17	21	4	3
2009-03-18	13	48	22	19	1	2
2009-03-19	21	48	24	18	0	3
2009-03-20	19	48	21	25	1	3
2009-03-21	23	48	21	25	3	3
2009-03-22	23	48	38	18	8	5
2009-03-23	19	48	25	18	10	9
2009-03-24	20	48	30	15	5	7
2009-03-25	8	48	17	25	6	7
2009-03-26	10	48	25	22	0	5
2009-03-27	23	48	23	18	2	0
2009-03-28	24	48	27	39	11	16
2009-03-29	19	48	29	20	4	5
2009-03-30	3	48	14	20	2	4
2009-03-31	5	48	23	12	5	0
2009-04-01	4	48	25	19	4	22
2009-04-02	19	48	26	27	9	48
2009-04-03	24	48	21	25	8	48
2009-04-04	24	48	18	20	15	48
2009-04-05	27	48	27	25	16	48
2009-04-06	24	48	26	19	15	48
2009-04-07	19	48	16	21	21	48
2009-04-08	25	48	19	24	18	48
2009-04-09	28	48	26	22	21	48
2009-04-10	26	48	24	22	11	48
2009-04-11	17	48	12	22	11	48
2009-04-12	21	48	24	18	10	48
2009-04-13	28	48	27	27	13	48
2009-04-14	29	48	24	20	20	48
2009-04-15	20	48	15	18	12	48
2009-04-16	16	48	10	17	15	48
2009-04-17	18	48	16	16	14	48
2009-04-18	26	48	19	23	16	48
2009-04-19	26	48	18	30	14	48
2009-04-20	21	48	25	27	15	48
2009-04-21	21	48	22	21	12	48
2009-04-22	18	48	16	20	11	48
2009-04-23	13	48	25	15	6	48
2009-04-24	12	48	29	16	26	48
2009-04-25	20	48	19	16	21	48
2009-04-26	22	48	18	17	6	48
2009-04-27	23	48	20	13	17	48
2009-04-28	30	48	21	15	21	48
2009-04-29	33	48	23	17	22	48
2009-04-30	1	48	0	1	3	48
2009-05-01	8	48	4	3	4	48
2009-05-02	3	48	6	1	9	48
2009-05-03	7	48	7	1	7	48
2009-05-04	12	48	12	18	17	36
2009-05-05	22	48	21	17	12	34
2009-05-06	19	48	21	18	18	25
2009-05-07	15	48	11	12	10	27
2009-05-08	14	48	14	19	12	23
